COYOTEID,PAIRED,TISSUE,SECTION,SAMPLE,LOCATION,HABITAT,DATE,YEAR,MONTH,RESEARCHER,d13C,d15N,Perc.C,Perc.N,MANGE,WINTER,SEX,ADULT
SS42,NO,CLAW,ALL,156,suburban,suburban,2017/12,2017,12,SS,-23.12,7.94,44.4,15,0,0,M,0
SS43,NO,CLAW,ALL,157,suburban,suburban,2017/12,2017,12,SS,-22.96,9.9,43.4,15,0,0,F,1
SS44,NO,CLAW,ALL,158,suburban,suburban,2018/02,2018,2,SS,-23.52,9.21,44.5,15.3,0,1,F,0
SS45,NO,CLAW,ALL,159,suburban,suburban,2017/12,2017,12,SS,-21.88,7.61,44.8,15.1,0,0,F,0
SS46,NO,CLAW,ALL,160,suburban,suburban,2017/12,2017,12,SS,-22.64,9.66,44.5,15.4,0,0,M,1
SS47,NO,CLAW,ALL,161,suburban,suburban,2017/12,2017,12,SS,-22.73,9.41,43.7,15.2,0,0,M,0
SS48,NO,CLAW,ALL,162,suburban,suburban,2017/12,2017,12,SS,-22.04,8.87,44.2,15.4,0,0,M,1
SS49,NO,CLAW,ALL,163,suburban,suburban,2017/12,2017,12,SS,-21.69,8.65,43.8,15.1,0,0,F,1
SS50,NO,CLAW,ALL,164,suburban,suburban,2017/12,2017,12,SS,-23.74,7.78,44.3,15.1,0,0,M,0
SS51,NO,CLAW,ALL,165,suburban,suburban,2017/12,2017,12,SS,-21.6,8.84,43.5,14.6,0,0,M,1
SS52,NO,CLAW,ALL,166,suburban,suburban,2018/01,2018,1,SS,-23.93,9,45.1,15.1,0,0,F,0
SS53,NO,CLAW,ALL,167,suburban,suburban,2018/01,2018,1,SS,-22.88,9.78,44.6,14.9,0,0,M,0
SS54,NO,CLAW,ALL,168,suburban,suburban,2017/12,2017,12,SS,-23.35,8.51,45.3,15.2,0,0,F,0
SS55,NO,CLAW,ALL,169,suburban,suburban,2018/01,2018,1,SS,-23.25,8.43,45.8,15.3,0,0,M,NA
SS56,NO,CLAW,ALL,170,suburban,suburban,2018/01,2018,1,SS,-22.77,9.39,42.4,14.7,0,0,M,1
SS57,NO,CLAW,ALL,171,suburban,suburban,2017/11,2017,11,SS,-22.74,8.29,42.8,14.4,0,0,F,0
SS58,NO,CLAW,ALL,172,suburban,suburban,2018/03,2018,3,SS,-22.79,9.59,43,14.7,0,1,F,1
SS59,NO,CLAW,ALL,173,suburban,suburban,2018/02,2018,2,SS,-23.77,8.61,44.5,14.9,0,1,F,1
SS60,NO,CLAW,ALL,174,suburban,suburban,2018/03,2018,3,SS,-23.66,6.09,42.6,14.7,0,1,F,1
SS61,NO,CLAW,ALL,175,suburban,suburban,2018/03,2018,3,SS,-22.8,8.93,43.4,14.6,0,1,M,1
SS62,NO,CLAW,ALL,176,suburban,suburban,2018/03,2018,3,SS,-22.52,8.67,41.8,14.2,0,1,F,1
