COYOTEID,TISSUE,SAMPLE,LOCATION,HABITAT,DATE,YEAR,MONTH,RESEARCHER,d13C,d15N,Perc.C,Perc.N,MANGE,WINTER,SEX,ADULT
SS4,CLAW,118,suburban,suburban,2017/12,2017,12,SS,-23.8,10.8,42.9,14.7,0,0,M,NA
SS5,CLAW,119,suburban,suburban,2017/12,2017,12,SS,-23.6,8.6,42.9,14.8,0,0,M,0
SS6,CLAW,120,suburban,suburban,2017/12,2017,12,SS,-22.8,8.4,44.3,14.7,0,0,M,1
SS7,CLAW,121,suburban,suburban,2017/12,2017,12,SS,-24.3,9,40.5,10.6,0,0,M,0
SS8,CLAW,122,suburban,suburban,2017/10,2017,10,SS,-23,9.4,44.2,14.7,0,0,M,1
SS9,CLAW,123,suburban,suburban,2017/11,2017,11,SS,-23.5,9.1,43.5,14.2,0,0,M,NA
SS10,CLAW,124,suburban,suburban,2017/12,2017,12,SS,-22.7,8.6,44.3,15.3,0,0,F,0
SS11,CLAW,125,suburban,suburban,2017/12,2017,12,SS,-23.9,8.6,44.2,15.3,0,0,F,0
SS12,CLAW,126,urban,urban,2017/09,2017,9,SS,-21.5,9,43.2,14.9,0,0,M,1
SS13,CLAW,127,suburban,suburban,2017/12,2017,12,SS,-22.9,9.4,43.4,15,0,0,M,1
SS14,CLAW,128,suburban,suburban,2017/10,2017,10,SS,-23.7,8.4,45.2,15.1,0,0,F,0
SS15,CLAW,129,suburban,suburban,2017/11,2017,11,SS,-22.5,9.1,44.3,15.1,0,0,F,1
SS16,CLAW,130,suburban,suburban,2017/12,2017,12,SS,-22.3,9.2,43.3,15,0,0,M,1
SS17,CLAW,131,urban,urban,NA,NA,NA,SS,-20.3,8.6,43.7,15,1,NA,F,NA
SS18,CLAW,132,suburban,suburban,2017/12,2017,12,SS,-22.7,9.1,43.7,15.2,0,0,M,0
SS19,CLAW,133,suburban,suburban,2017/12,2017,12,SS,-23.7,8.4,41,13,0,0,M,0
SS20,CLAW,134,suburban,suburban,2017/12,2017,12,SS,-22.34,8.94,45.5,15.9,0,0,M,1
SS21,CLAW,135,suburban,suburban,2017/10,2017,10,SS,-23.39,8.33,40.9,13.6,0,0,F,0
