,Meand13C,SDd13C,Meand15N,SDd15N
Domestic pets,2.41,0.37,3.05,0.13
Cricetid rodents ,2.41,0.37,3.05,0.13
Ungulates,2.41,0.37,3.05,0.13
Small herbivores,2.41,0.37,3.05,0.13
Insects,2.41,0.37,3.05,0.13
Berries,2.41,0.37,3.05,0.13
Anthropogenic food,2.41,0.37,3.05,0.13
