,Meand13C,SDd13C,Meand15N,SDd15N
Domestic pets,3.25,0.5,3.05,0.5
Cricetid rodents ,3.25,0.5,3.05,0.5
Ungulates,3.25,0.5,3.05,0.5
Small herbivores,3.25,0.5,3.05,0.5
Insects,3.25,0.5,3.05,0.5
Berries,3.25,0.5,3.05,0.5
Anthropogenic food,3.25,0.5,3.05,0.5
