,Meand13C,SDd13C,Meand15N,SDd15N
Domestic pets,0.5,0.5,3.5,0.5
Cricetid rodents ,0.5,0.5,3.5,0.5
Ungulates,0.5,0.5,3.5,0.5
Small herbivores,0.5,0.5,3.5,0.5
Insects,0.5,0.5,3.5,0.5
Berries,0.5,0.5,3.5,0.5
Anthropogenic food,0.5,0.5,3.5,0.5
